episode_index,episode_url,comment
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,TOP
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,TOP
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,TOP
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,it's confirmed. Nico and Alina are married now
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,TOP
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,TOP
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,TOP
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Narratively I love this but personally I'm pissed off
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,TOP
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,TOP
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,TOP
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,GO GET YOUR WIFE!!!!
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Davina recognizes Breixo’s fighting style? Why does it feel like that is a HUGE clue as to who the mastermind behind all of this is?
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Nico potential love interest 😏😏😏🙄🙄🙄
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Webtoon...you can have all my coins if you upload the rest of this series tomorrow.
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Davina I need u to mop the floor with that freak 😀
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"""I still have the ropes you came with"""
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Alice posting her and Val in social media while Nico and Adam are suffering 😭😭
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,did he js called my girl a bitch??
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Nico will get married to Alina I’m calling it. I saw you caring for him girlll. And that blush😏😏
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Imagine trying to explain to Mikey that you lost Davina...
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Gabe: It is a contract.
Nico: No I’m not going to let you do this again!
Gabe: It’s done!
Nico: No it’s not! Is that why you-?
Alina: No I didn’t know!
Nico: What did Davina say?
Gabe: 
Nico: Right. Okay let’s think smarter than your grandmother. She wants you married into the Venetians right? That’s what she cares about?
Alina: Y-yes.
Nico: Good. Then you can just marry me instead."
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,KICK HIM IN THE BALLS DAVINA
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Ahh yesss back for my weekly emotional abuse
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Not that I don’t love the drama, but anyone else miss the simple times of pool days and play dates? 🥲"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,So Davina was kidnapped and Gabriel is in another arranged marriage... great
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Davina's always been the target, huh 🥺"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"“She’ll be fine. You on the other hand…” 
“Right. I’m useless…”
OH ADAM 😭😭😭😭"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,“Where is she.” 🤭🤭🤭
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,breixo pls zip up your pants
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Poor Alina just saw her sister poisoned, and now being forced into a marriage she doesn't want. I hope Nico sweeps her off her feet."
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,I swear these episodes are getting shorter and shorter.😭
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Gabriel giving “Taken” energy and IM HERE FOR IT 😤😤😤
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,i wonder if he’s fighting nanny-style
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,GABRIEL NEEDS TO BE PRINCE CHAMING AND RESCUE  HIS PRINCESS!
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,breixo's going to get it! gabe's probably gonna kill him 😬😂
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"I'm not sure if this has been commented on before or not, but I think it's interesting that the kindhearted Davina's family name is Devil, and the wicked and ruthless Gabe's surname is Angel."
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,NEW SHIP DROP??
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Ahhhhh I can’t wait another week!!!!!
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,The wait for next week is gonna be brutal.
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,“THIS STYLE”??? DOES SHE KNOW HIM FROM SOMEWHERE ELSE?? WHERE DOES SHE RECOGNIZE IT?? LIKE I NEED TO KNOW…
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Listen man, I love the toons I’m subscribed to but this seemingly new trend with recent returns where the length of an episode seems to be half the length it used to be is getting annoying. On one hand I’m glad the creators don’t have to pump out so much so fast and burn out quickly, but at the same time the IV drip pacing makes it hard to  justify spending coins. Not that fp isn’t already inherently flawed in general."
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,I have mad respect for Nico. His immediate response was anger and worry that Val and Adam were still out there. He is one loyal man!!
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Oh Daddy Gabe is going to go full Boss mode to get his woman back. You all better watch out.
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Wait, so is Nico the one getting married?"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,This comic gives me so much anxiety in the best way possible
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"me at the start: OKAY DAVINA MESS HIM UUUP
me after: WHAT THE FU-"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Breixo is fine but HE HAS TO GOOOOOO
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Look guys, we need all hands on deck. Who here is smart enough to help make a time machine,  so we can all read the whole series?"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Nico looked a little too good in this ch
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Oh sis got it BAD!!! Where she find gauze already to come bind Nico's wounds lol

Ol boy's pants still being undone was funny until he was on top of Vina. Then it got uncomfy. I'm hoping it comes full circle and she uses that to her advantage when we see her again. Gabriel was just about to take a step back to calculate some things and now he's bout to go scorched earth."
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"my heart breaks for Adam calling himself useless, and then Nico begging Gabe to send him back so he won't have to do this again, IM IN PAIN 😩😩"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,So is the next episode coming out tomorrow or..? (PLEASE.)
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Davina and Gabriel must never be separated or else angry Gabriel gets unleashed!
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"TELL ME THAT JERK IS NOT TRAINED AS A NANNY OR BY A NANNY, I SWEAR THAT BETTER NOT BE WHAT ""THIS STYLE"" IS 😬

But hot damn what a good chapter, just wish it was longer 😭"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,at least im not on fire 😂😂😂
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,"Nico, Val will be fine. She’s much better off than you or Adam were. BUT AHHHHHH DAVINA"
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Would not be surprised if Gabriel calls on ENA headmistress to assist in Davina’s rescue. I also feel like there’s an inevitable conversation between the headmistress and Gabriel about Davina’s past that may be revelatory about how much Gabriel knows. 👀
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,Bro Gabriel is literally about to have a heart attack because of Davina ￼
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,waitttt alina and nico had an intimate moment 🫣🫣 rooting for them
1,https://www.webtoons.com/en/romance/the-mafia-nanny/s2-episode-89/viewer?title_no=5879&episode_no=99,noo i forgot he agreed to the contract marriage ... 😒😒
